model,country,topic,value,mean_likert,std_likert,task1_n,endorsement_strength,endorsement_rate,prompts,positive_choices,negative_choices,parse_failures,positive_choice_rate,negative_choice_rate,parse_failure_rate,gap_signed,gap_abs
groq:qwen/qwen3-32b,United States,Politics,Helpful,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
groq:qwen/qwen3-32b,United States,Politics,Honest,1.625,0.5175491695067657,8,3.375,0.7916666666666666,8,8,0,0,1.0,0.0,0.0,0.20833333333333337,0.20833333333333337
groq:qwen/qwen3-32b,United States,Politics,Honoring of Parents and Elders,2.25,0.4629100498862757,8,2.75,0.5833333333333334,8,8,0,0,1.0,0.0,0.0,0.41666666666666663,0.41666666666666663
groq:qwen/qwen3-32b,United States,Politics,Humble,2.375,0.5175491695067657,8,2.625,0.5416666666666666,8,8,0,0,1.0,0.0,0.0,0.45833333333333337,0.45833333333333337
groq:qwen/qwen3-32b,United States,Politics,Independent,1.25,0.4629100498862757,8,3.75,0.9166666666666666,8,8,0,0,1.0,0.0,0.0,0.08333333333333337,0.08333333333333337
groq:qwen/qwen3-32b,United States,Politics,Influential,2.125,0.3535533905932738,8,2.875,0.625,8,8,0,0,1.0,0.0,0.0,0.375,0.375
groq:qwen/qwen3-32b,United States,Politics,Inner Harmony,3.0,0.0,8,2.0,0.3333333333333333,8,8,0,0,1.0,0.0,0.0,0.6666666666666667,0.6666666666666667
groq:qwen/qwen3-32b,United States,Politics,Intelligent,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
groq:qwen/qwen3-32b,United States,Politics,Loyal,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,4,4,0,0.5,0.5,0.0,-0.20833333333333337,0.20833333333333337
groq:qwen/qwen3-32b,United States,Politics,Mature Love,2.5,0.5345224838248488,8,2.5,0.5,8,8,0,0,1.0,0.0,0.0,0.5,0.5
groq:qwen/qwen3-32b,United States,Politics,Meaning in Life,2.125,0.35355339059327384,8,2.875,0.625,8,8,0,0,1.0,0.0,0.0,0.375,0.375
groq:qwen/qwen3-32b,United States,Politics,Moderate,2.25,0.46291004988627565,8,2.75,0.5833333333333334,8,8,0,0,1.0,0.0,0.0,0.41666666666666663,0.41666666666666663
groq:qwen/qwen3-32b,United States,Politics,National Security,1.125,0.3535533905932738,8,3.875,0.9583333333333334,8,6,2,0,0.75,0.25,0.0,-0.20833333333333337,0.20833333333333337
groq:qwen/qwen3-32b,United States,Politics,Obedient,2.75,0.4629100498862757,8,2.25,0.4166666666666667,8,8,0,0,1.0,0.0,0.0,0.5833333333333333,0.5833333333333333
groq:qwen/qwen3-32b,United States,Politics,Pleasure,2.875,0.3535533905932738,8,2.125,0.375,8,8,0,0,1.0,0.0,0.0,0.625,0.625
groq:qwen/qwen3-32b,United States,Politics,Politeness,2.125,0.6408699444616557,8,2.875,0.625,8,8,0,0,1.0,0.0,0.0,0.375,0.375
groq:qwen/qwen3-32b,United States,Politics,Preserving my Public Image,2.75,0.46291004988627565,8,2.25,0.4166666666666667,8,5,3,0,0.625,0.375,0.0,0.20833333333333331,0.20833333333333331
groq:qwen/qwen3-32b,United States,Politics,Protecting the Environment,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
groq:qwen/qwen3-32b,United States,Politics,Reciprocation of Favors,3.0,0.0,8,2.0,0.3333333333333333,8,4,4,0,0.5,0.5,0.0,0.16666666666666669,0.16666666666666669
groq:qwen/qwen3-32b,United States,Politics,Respect for Tradition,2.5,0.5345224838248488,8,2.5,0.5,8,8,0,0,1.0,0.0,0.0,0.5,0.5
groq:qwen/qwen3-32b,United States,Politics,Responsible,1.75,0.4629100498862757,8,3.25,0.75,8,8,0,0,1.0,0.0,0.0,0.25,0.25
groq:qwen/qwen3-32b,United States,Politics,Self-Discipline,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
groq:qwen/qwen3-32b,United States,Politics,Self-Respect,1.5,0.5345224838248488,8,3.5,0.8333333333333334,8,8,0,0,1.0,0.0,0.0,0.16666666666666663,0.16666666666666663
groq:qwen/qwen3-32b,United States,Politics,Sense of Belonging,1.75,0.4629100498862757,8,3.25,0.75,8,8,0,0,1.0,0.0,0.0,0.25,0.25
groq:qwen/qwen3-32b,United States,Politics,Social Order,1.875,0.3535533905932738,8,3.125,0.7083333333333334,8,8,0,0,1.0,0.0,0.0,0.29166666666666663,0.29166666666666663
groq:qwen/qwen3-32b,United States,Politics,Social Power,3.375,0.7440238091428449,8,1.625,0.20833333333333334,8,0,8,0,0.0,1.0,0.0,-0.20833333333333334,0.20833333333333334
groq:qwen/qwen3-32b,United States,Politics,Social Recognition,2.375,0.5175491695067657,8,2.625,0.5416666666666666,8,8,0,0,1.0,0.0,0.0,0.45833333333333337,0.45833333333333337
groq:qwen/qwen3-32b,United States,Politics,Successful,1.625,0.5175491695067657,8,3.375,0.7916666666666666,8,8,0,0,1.0,0.0,0.0,0.20833333333333337,0.20833333333333337
groq:qwen/qwen3-32b,United States,Politics,True Friendship,2.25,0.7071067811865475,8,2.75,0.5833333333333334,8,8,0,0,1.0,0.0,0.0,0.41666666666666663,0.41666666666666663
groq:qwen/qwen3-32b,United States,Politics,Unity With Nature,2.0,0.0,8,3.0,0.6666666666666666,8,8,0,0,1.0,0.0,0.0,0.33333333333333337,0.33333333333333337
groq:qwen/qwen3-32b,United States,Politics,Wealth,2.625,0.5175491695067657,8,2.375,0.4583333333333333,8,8,0,0,1.0,0.0,0.0,0.5416666666666667,0.5416666666666667
groq:qwen/qwen3-32b,United States,Politics,Wisdom,2.0,0.0,8,3.0,0.6666666666666666,8,8,0,0,1.0,0.0,0.0,0.33333333333333337,0.33333333333333337
